UCELB_VName,UKB_VName
GP,GlycA
ALB,Albumin
CREA,Creatinine
ACE,Acetate
BOHBUT,bOHbutyrate
CIT,Citrate
GLC,Glucose
LAC,Lactate
ALA,Ala
GLN,Gln
HIS,His
PHE,Phe
TYR,Tyr
ILE,Ile
LEU,Leu
VAL,Val
APOA1,ApoA1
APOB,ApoB
FAW3,Omega_3
FAW6,Omega_6
TOTFA,Total_FA
UNSAT,Unsaturation
PC,Phosphatidylc
SERUM_TG,Total_TG
TOTCHO,Cholines
SM,Sphingomyelins
TOTPG,Phosphoglyc
REMNANT_C,Remnant_C
SERUM_C,Total_C
ESTC,Total_CE
FREEC,Total_FC
VLDL_D,VLDL_size
LDL_D,LDL_size
HDL_D,HDL_size
ACACE,Acetoacetate
FAW3_FA,Omega_3_pct
FAW6_FA,Omega_6_pct
MUFA_FA,MUFA_pct
PUFA_FA,PUFA_pct
SFA_FA,SFA_pct
